time,temperature
2019-03-02 07:15:00,66.18
2019-03-02 07:30:00,66.25
2019-03-02 07:45:00,66.31
2019-03-02 08:00:00,66.31
2019-03-02 08:15:00,66.44
2019-03-02 08:30:00,66.27
2019-03-02 08:45:00,66.39
2019-03-02 09:00:00,66.43
2019-03-02 09:15:00,66.50
2019-03-02 09:30:00,66.52
2019-03-02 09:45:00,66.63
2019-03-02 10:00:00,66.68
2019-03-02 10:15:00,66.91
2019-03-02 10:30:00,66.90
2019-03-02 10:45:00,66.98
2019-03-02 11:00:00,66.86
2019-03-02 11:15:00,66.82
2019-03-02 11:30:00,67.05
2019-03-02 11:45:00,66.97
2019-03-02 12:00:00,66.91
2019-03-02 12:15:00,66.72
2019-03-02 12:30:00,66.88
2019-03-02 12:45:00,66.78
2019-03-02 13:00:00,66.88
2019-03-02 13:15:00,66.90
2019-03-02 13:30:00,66.92
2019-03-02 13:45:00,66.93
2019-03-02 14:00:00,67.05
2019-03-02 14:15:00,67.63
2019-03-02 14:30:00,67.68
2019-03-02 14:45:00,67.39
2019-03-02 15:00:00,67.00
2019-03-02 15:15:00,67.20
2019-03-02 15:30:00,67.74
2019-03-02 15:45:00,69.28
2019-03-02 16:00:00,70.32
2019-03-02 16:15:00,70.90
2019-03-02 16:30:00,71.28
2019-03-02 16:45:00,71.82
2019-03-02 17:00:00,72.22
2019-03-02 17:15:00,71.30
2019-03-02 17:30:00,69.85
2019-03-02 17:45:00,68.98
2019-03-02 18:00:00,68.26
2019-03-02 18:15:00,67.68
2019-03-02 18:30:00,67.21
2019-03-02 18:45:00,66.75
2019-03-02 19:00:00,66.79
2019-03-02 19:15:00,66.78
2019-03-02 19:30:00,66.74
2019-03-02 19:45:00,66.75
2019-03-02 20:00:00,66.79
2019-03-02 20:15:00,66.73
2019-03-02 20:30:00,66.80
2019-03-02 20:45:00,66.78
2019-03-02 21:00:00,66.69
2019-03-02 21:15:00,66.60
2019-03-02 21:30:00,66.58
2019-03-02 21:45:00,66.58
2019-03-02 22:00:00,66.57
2019-03-02 22:15:00,66.39
2019-03-02 22:30:00,66.32
2019-03-02 22:45:00,66.37
2019-03-02 23:00:00,66.34
2019-03-02 23:15:00,66.34
2019-03-02 23:30:00,66.27
2019-03-02 23:45:00,66.28
2019-03-03 00:00:00,66.20
2019-03-03 00:15:00,66.16
2019-03-03 00:30:00,66.21
2019-03-03 00:45:00,66.20
